,Date,Store listing visitors: Google Play explore; All countries / regions,Store listing visitors: Google Play explore; Russia,Store listing visitors: Google Play explore; India,Store listing visitors: Google Play explore; Brazil,Store listing visitors: Google Play explore; Mexico,Store listing visitors: Google Play explore; Indonesia,Store listing visitors: Google Play explore; Italy,Store listing visitors: Google Play explore; United States,Store listing visitors: Google Play explore; China,Store listing visitors: Google Play explore; Türkiye,Store listing acquisitions: Google Play explore; All countries / regions,Store listing acquisitions: Google Play explore; Russia,Store listing acquisitions: Google Play explore; India,Store listing acquisitions: Google Play explore; Brazil,Store listing acquisitions: Google Play explore; Mexico,Store listing acquisitions: Google Play explore; Indonesia,Store listing acquisitions: Google Play explore; Italy,Store listing acquisitions: Google Play explore; United States,Store listing acquisitions: Google Play explore; China,Store listing acquisitions: Google Play explore; Türkiye,Store listing visitors: Google Play explore; Germany,Store listing visitors: Google Play explore; France,Store listing visitors: Google Play explore; Ukraine,Store listing visitors: Google Play explore; Philippines,Store listing visitors: Google Play explore; Poland,Store listing visitors: Google Play explore; Argentina,Store listing visitors: Google Play explore; United Kingdom,Store listing visitors: Google Play explore; Spain,Store listing visitors: Google Play explore; South Korea,Store listing visitors: Google Play explore; Malaysia,Store listing acquisitions: Google Play explore; Germany,Store listing acquisitions: Google Play explore; France,Store listing acquisitions: Google Play explore; Ukraine,Store listing acquisitions: Google Play explore; Philippines,Store listing acquisitions: Google Play explore; Poland,Store listing acquisitions: Google Play explore; Argentina,Store listing acquisitions: Google Play explore; United Kingdom,Store listing acquisitions: Google Play explore; Spain,Store listing acquisitions: Google Play explore; South Korea,Store listing acquisitions: Google Play explore; Malaysia,Store listing visitors: Google Play explore; Thailand,Store listing visitors: Google Play explore; Romania,Store listing acquisitions: Google Play explore; Thailand,Store listing acquisitions: Google Play explore; Romania
0,"Sep 16, 2023","19,597","1,888","1,288","1,024","3,790",618,814,550,0,220,"2,037",493,151,220,126,61,54,30,0,26,194,760,260,269,171,272,71,96,587,120,35,13,61,32,44,74,18,14,9,17,122,537,28,29
1,"Sep 17, 2023","17,646","1,629","1,244",901,"3,939",376,756,477,1,170,"1,672",391,147,192,95,40,26,26,0,31,165,788,357,119,139,256,59,94,371,65,37,14,102,17,36,60,11,20,5,8,76,564,15,22
2,"Sep 18, 2023","14,321","1,273",939,543,"4,274",313,582,361,0,115,"1,236",277,110,134,77,45,20,20,0,21,109,543,188,113,163,179,37,70,296,59,20,3,52,20,19,44,6,16,8,5,55,527,20,20
3,"Sep 19, 2023","13,633","1,052",695,529,"3,368",322,"1,082",421,0,104,"1,106",255,69,108,81,42,27,16,0,21,123,467,193,115,175,170,48,64,241,59,22,6,54,20,17,51,8,11,5,11,46,644,4,13
4,"Sep 20, 2023","15,269","1,131",738,689,"3,093",344,"1,596",438,0,117,"1,326",313,90,171,76,47,36,21,0,18,122,487,214,110,189,141,59,64,221,59,23,29,51,18,19,40,8,17,4,10,77,784,17,20
5,"Sep 21, 2023","14,302","1,726",878,525,"3,568",383,"1,228",335,1,98,"1,539",473,117,102,90,63,24,24,0,23,126,436,196,139,157,199,53,78,206,59,22,12,43,15,21,58,9,22,4,14,67,552,14,20
6,"Sep 22, 2023","18,145","1,621","1,280",782,"5,352",577,"1,450",396,1,169,"1,769",424,141,167,101,69,45,29,0,31,159,397,264,172,186,314,61,86,356,109,39,18,57,25,27,55,10,25,23,10,96,848,19,25
7,"Sep 23, 2023","21,726","1,929","1,645","1,011","5,009",684,"2,077",683,1,228,"2,349",510,175,240,120,65,57,36,0,27,253,605,420,212,297,276,73,186,450,116,67,30,114,29,52,74,13,37,5,11,169,"1,004",37,38
8,"Sep 24, 2023","19,271","1,749","1,502","1,057","4,257",546,"2,224",713,0,175,"2,004",428,159,251,157,57,67,37,0,24,183,603,328,135,259,294,52,144,278,126,33,15,74,14,44,90,8,25,2,21,84,824,14,27
9,"Sep 25, 2023","15,112","1,272","1,093",678,"3,066",439,"1,230",539,0,110,"1,415",337,127,125,83,52,29,21,0,21,117,330,273,137,154,173,38,82,207,84,19,4,82,21,22,42,5,16,6,23,69,"1,072",13,23
10,"Sep 26, 2023","14,007","1,225",911,621,"2,485",341,"1,516",605,1,111,"1,381",318,105,138,72,47,21,29,0,17,100,343,209,130,150,184,40,80,227,85,17,19,50,24,17,55,3,19,6,20,47,689,17,34
11,"Sep 27, 2023","15,742","1,550","1,444",613,"2,935",467,"1,073",514,0,127,"1,565",407,186,150,66,56,26,13,0,25,109,492,177,117,134,149,38,98,424,102,22,19,46,30,24,35,4,30,16,19,64,819,17,33
12,"Sep 28, 2023","16,855","1,141","1,005",555,"4,927",401,"1,306",699,0,99,"1,356",282,115,128,109,55,24,27,0,16,108,406,178,143,88,134,51,74,501,83,23,9,47,27,20,36,7,17,13,18,57,928,9,22
13,"Sep 29, 2023","16,866","1,444",972,555,"4,056",383,"1,162",392,0,142,"1,585",388,115,115,109,52,26,25,0,28,140,331,221,164,161,155,50,83,444,108,31,13,65,28,45,37,3,22,4,9,93,759,28,25
14,"Sep 30, 2023","21,520","1,678","1,147",990,"5,685",438,"1,817",605,0,183,"2,131",457,149,265,133,63,46,24,0,39,193,588,298,171,289,239,70,163,427,89,45,20,62,24,81,69,11,38,15,14,92,865,23,42
