,Date,Store listing visitors: Google Play explore; Germany,Store listing visitors: Google Play explore; France,Store listing visitors: Google Play explore; Ukraine,Store listing visitors: Google Play explore; Philippines,Store listing visitors: Google Play explore; Poland,Store listing visitors: Google Play explore; Argentina,Store listing visitors: Google Play explore; United Kingdom,Store listing visitors: Google Play explore; Spain,Store listing visitors: Google Play explore; South Korea,Store listing visitors: Google Play explore; Malaysia,Store listing acquisitions: Google Play explore; Germany,Store listing acquisitions: Google Play explore; France,Store listing acquisitions: Google Play explore; Ukraine,Store listing acquisitions: Google Play explore; Philippines,Store listing acquisitions: Google Play explore; Poland,Store listing acquisitions: Google Play explore; Argentina,Store listing acquisitions: Google Play explore; United Kingdom,Store listing acquisitions: Google Play explore; Spain,Store listing acquisitions: Google Play explore; South Korea,Store listing acquisitions: Google Play explore; Malaysia
0,"Sep 16, 2023",194,760,260,269,171,272,71,96,587,120,35,13,61,32,44,74,18,14,9,17
1,"Sep 17, 2023",165,788,357,119,139,256,59,94,371,65,37,14,102,17,36,60,11,20,5,8
2,"Sep 18, 2023",109,543,188,113,163,179,37,70,296,59,20,3,52,20,19,44,6,16,8,5
3,"Sep 19, 2023",123,467,193,115,175,170,48,64,241,59,22,6,54,20,17,51,8,11,5,11
4,"Sep 20, 2023",122,487,214,110,189,141,59,64,221,59,23,29,51,18,19,40,8,17,4,10
5,"Sep 21, 2023",126,436,196,139,157,199,53,78,206,59,22,12,43,15,21,58,9,22,4,14
6,"Sep 22, 2023",159,397,264,172,186,314,61,86,356,109,39,18,57,25,27,55,10,25,23,10
7,"Sep 23, 2023",253,605,420,212,297,276,73,186,450,116,67,30,114,29,52,74,13,37,5,11
8,"Sep 24, 2023",183,603,328,135,259,294,52,144,278,126,33,15,74,14,44,90,8,25,2,21
9,"Sep 25, 2023",117,330,273,137,154,173,38,82,207,84,19,4,82,21,22,42,5,16,6,23
10,"Sep 26, 2023",100,343,209,130,150,184,40,80,227,85,17,19,50,24,17,55,3,19,6,20
11,"Sep 27, 2023",109,492,177,117,134,149,38,98,424,102,22,19,46,30,24,35,4,30,16,19
12,"Sep 28, 2023",108,406,178,143,88,134,51,74,501,83,23,9,47,27,20,36,7,17,13,18
13,"Sep 29, 2023",140,331,221,164,161,155,50,83,444,108,31,13,65,28,45,37,3,22,4,9
14,"Sep 30, 2023",193,588,298,171,289,239,70,163,427,89,45,20,62,24,81,69,11,38,15,14
