,Date,Store listing visitors: Google Play explore; Thailand,Store listing visitors: Google Play explore; Romania,Store listing acquisitions: Google Play explore; Thailand,Store listing acquisitions: Google Play explore; Romania
0,"Sep 16, 2023",122,537,28,29
1,"Sep 17, 2023",76,564,15,22
2,"Sep 18, 2023",55,527,20,20
3,"Sep 19, 2023",46,644,4,13
4,"Sep 20, 2023",77,784,17,20
5,"Sep 21, 2023",67,552,14,20
6,"Sep 22, 2023",96,848,19,25
7,"Sep 23, 2023",169,"1,004",37,38
8,"Sep 24, 2023",84,824,14,27
9,"Sep 25, 2023",69,"1,072",13,23
10,"Sep 26, 2023",47,689,17,34
11,"Sep 27, 2023",64,819,17,33
12,"Sep 28, 2023",57,928,9,22
13,"Sep 29, 2023",93,759,28,25
14,"Sep 30, 2023",92,865,23,42
